event_id,event_name,genre,market,venue_name,venue_capacity,tier,poll_timestamp,event_start,price_min,price_max,currency,days_until_event,price_mid,price_status,price_change,price_change_pct
rZ7HnEZ1Af0oFd,"Alex Amen w/ Fallen Oaks, Robert Leslie (partially seated)",Folk,Seattle,Tractor,,,2026-08-11 01:56:39+00:00,2026-08-11 02:30:00+00:00,21.99,21.99,USD,0.023159722222222224,21.99,listed,0.0,0.0
rZ7HnEZ1Af0xOK,April and The Funk Junkies,Dance/Electronic,Solana Beach,Belly Up,,,2026-08-11 21:07:50+00:00,2026-08-15 00:30:00+00:00,12.8,25.3,USD,3.1403935185185183,19.05,listed,,
rZ7HnEZ1AfA3-V,Ladies Night 2026,Country,Aurora,Stampede,,,2026-08-11 21:07:07+00:00,2026-08-13 00:00:00+00:00,16.56,16.56,USD,1.1200578703703703,16.56,listed,,
rZ7HnEZ1AfA3-V,Ladies Night 2026,Country,Aurora,Stampede,,,2026-08-11 21:07:50+00:00,2026-08-13 00:00:00+00:00,16.56,16.56,USD,1.119560185185185,16.56,listed,0.0,0.0
rZ7HnEZ1AfA8x7,Overtime,Hip-Hop/Rap,Joliet,The Forge,,,2026-08-11 21:07:07+00:00,2026-08-14 00:00:00+00:00,17.05,117.75,USD,2.1200578703703705,67.4,listed,,
rZ7HnEZ1AfA8x7,Overtime,Hip-Hop/Rap,Joliet,The Forge,,,2026-08-11 21:07:50+00:00,2026-08-14 00:00:00+00:00,17.05,117.75,USD,2.1195601851851853,67.4,listed,0.0,0.0
rZ7HnEZ1AfF-Z7,"Still Rings, Me At Night, Olive Bernard",Alternative,New York,Night Club 101,,,2026-08-11 01:56:39+00:00,2026-08-12 00:00:00+00:00,20.01,20.01,USD,0.9189930555555555,20.01,listed,,
rZ7HnEZ1AfF-Z7,"Still Rings, Me At Night, Olive Bernard",Alternative,New York,Night Club 101,,,2026-08-11 21:07:07+00:00,2026-08-12 00:00:00+00:00,20.01,20.01,USD,0.12005787037037037,20.01,listed,0.0,0.0
rZ7HnEZ1AfF-Z7,"Still Rings, Me At Night, Olive Bernard",Alternative,New York,Night Club 101,,,2026-08-11 21:07:50+00:00,2026-08-12 00:00:00+00:00,20.01,20.01,USD,0.11956018518518519,20.01,listed,0.0,0.0
rZ7HnEZ1AfF-_f,"Cottage Corpse, I-90 Fiasco & Athleisure",Rock,Seattle,Tractor,,,2026-08-11 21:07:50+00:00,2026-08-12 02:30:00+00:00,16.42,16.42,USD,0.22372685185185184,16.42,listed,,
rZ7HnEZ1AfF300,"LITTLE MOON , Bly Wallentine",Pop,Boise,Neurolux Lounge,,,2026-08-11 21:07:07+00:00,2026-08-12 02:00:00+00:00,18.63,18.63,USD,0.2033912037037037,18.63,listed,,
rZ7HnEZ1AfF300,"LITTLE MOON , Bly Wallentine",Pop,Boise,Neurolux Lounge,,,2026-08-11 21:07:50+00:00,2026-08-12 02:00:00+00:00,18.63,18.63,USD,0.20289351851851853,18.63,listed,0.0,0.0
rZ7HnEZ1AfF4Qf,Thursday Night Death Metal w/ Mutilation Barbecue / Inoculation / Casket Splinter / Fucked 2 Death / 1000x Saliva,Metal,Cleveland Heights,Grog Shop,,,2026-08-11 21:07:50+00:00,2026-08-14 00:00:00+00:00,19.51,19.51,USD,2.1195601851851853,19.51,listed,,
rZ7HnEZ1AfFAJ7,JEFFREY NOTHING (Co-founding singer of Mushroomhead) • Dizasterpiece • Sons Of The Pyre,Metal,Westland,The Token Lounge,,,2026-08-11 01:41:44+00:00,2026-08-11 22:00:00+00:00,24.38,24.38,USD,0.8460185185185185,24.38,listed,,
rZ7HnEZ1AfFAJ7,JEFFREY NOTHING (Co-founding singer of Mushroomhead) • Dizasterpiece • Sons Of The Pyre,Metal,Westland,The Token Lounge,,,2026-08-11 01:56:39+00:00,2026-08-11 22:00:00+00:00,24.38,24.38,USD,0.8356597222222222,24.38,listed,0.0,0.0
rZ7HnEZ1AfFAJ7,JEFFREY NOTHING (Co-founding singer of Mushroomhead) • Dizasterpiece • Sons Of The Pyre,Metal,Westland,The Token Lounge,,,2026-08-11 21:07:07+00:00,2026-08-11 22:00:00+00:00,24.38,24.38,USD,0.036724537037037035,24.38,listed,0.0,0.0
rZ7HnEZ1AfFAJ7,JEFFREY NOTHING (Co-founding singer of Mushroomhead) • Dizasterpiece • Sons Of The Pyre,Metal,Westland,The Token Lounge,,,2026-08-11 21:07:50+00:00,2026-08-11 22:00:00+00:00,24.38,24.38,USD,0.03622685185185185,24.38,listed,0.0,0.0
rZ7HnEZ1AfF_G0,Murphys Law Jimmys Birthday Cruise!,Other,New York,ROCKS OFF Concert Cruise Series,,,2026-08-11 21:07:50+00:00,2026-08-12 23:00:00+00:00,49.06,49.06,USD,1.0778935185185186,49.06,listed,,
rZ7HnEZ1AfFdf0,"One Night Live Presents Frail Talk, Anna Applegate",Rock,Newport,The Southgate House Revival - Revival Room,,,2026-08-11 01:56:39+00:00,2026-08-12 00:00:00+00:00,21.43,21.43,USD,0.9189930555555555,21.43,listed,,
rZ7HnEZ1AfFdf0,"One Night Live Presents Frail Talk, Anna Applegate",Rock,Newport,The Southgate House Revival - Revival Room,,,2026-08-11 21:07:07+00:00,2026-08-12 00:00:00+00:00,21.43,21.43,USD,0.12005787037037037,21.43,listed,0.0,0.0
rZ7HnEZ1AfFdf0,"One Night Live Presents Frail Talk, Anna Applegate",Rock,Newport,The Southgate House Revival - Revival Room,,,2026-08-11 21:07:50+00:00,2026-08-12 00:00:00+00:00,21.43,21.43,USD,0.11956018518518519,21.43,listed,0.0,0.0
rZ7HnEZ1AfFe1f,Mutlu,R&B,Nashville,The Basement,,,2026-08-11 21:07:50+00:00,2026-08-14 00:00:00+00:00,12.85,12.85,USD,2.1195601851851853,12.85,listed,,
rZ7HnEZ1AfFe7V,Gallant,R&B,San Diego,SOMA - Sidestage,,,2026-08-11 21:07:07+00:00,2026-08-13 03:00:00+00:00,34.31,34.31,USD,1.2450578703703703,34.31,listed,,
rZ7HnEZ1AfFe7V,Gallant,R&B,San Diego,SOMA - Sidestage,,,2026-08-11 21:07:50+00:00,2026-08-13 03:00:00+00:00,34.31,34.31,USD,1.244560185185185,34.31,listed,0.0,0.0
rZ7HnEZ1AfFoQ7,"Ani DiFranco, Wryn",Folk,Solana Beach,Belly Up,,,2026-08-11 21:07:07+00:00,2026-08-12 03:00:00+00:00,59.8,59.8,USD,0.24505787037037038,59.8,listed,,
rZ7HnEZ1AfFoQ7,"Ani DiFranco, Wryn",Folk,Solana Beach,Belly Up,,,2026-08-11 21:07:50+00:00,2026-08-12 03:00:00+00:00,59.8,59.8,USD,0.24456018518518519,59.8,listed,0.0,0.0
rZ7HnEZ1AfFt07,Lyrical Rhythms,R&B,Cleveland Heights,B Side Lounge,,,2026-08-11 01:56:39+00:00,2026-08-12 00:00:00+00:00,6.67,6.67,USD,0.9189930555555555,6.67,listed,,
